index,Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Council District,Census Tract,log_DOF Gross Floor Area,log_Largest Property Use Type - Gross Floor Area (ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Queens,Borough_Staten Island
4474,5086,2794405,64000,1963,1,100,62.6,8.1,0.478642298,6299575.527,66944.70117,1829696.4,536253.3,43.29,40.790973,-73.953146,11,8,168,11.06663836,10.95339967,5.583766874,3.767921661,0,0
8150,10135,4405050,66978,2009,1,100,60.4,4.6,0.5,2969414.8,31748.6,1091737.5,310172.2,33.36,40.683682,-73.910178,4,37,403,11.11211949,11.11542853,5.060694494,3.507357577,0,0
1894,2232,3543311,53038,1903,1,100,89.9,25.6,0.478642298,371137.5,66944.70117,4485995.2,1382717.2,74.31,40.743843,-73.987196,5,2,56,10.87876392,10.89673933,2.980618636,4.308245532,0,0
8698,10889,4042562,60000,1931,1,100,52.7,4.7,0.4,2209700,23224.2,1013268.7,289522,52.54,40.625458,-73.980154,12,44,472,11.00209984,11.02209853,4.765586907,3.961574784,0,0
102,105,2741571,1651267,1973,1,100,124.5,6.7,0.478642298,23052893.3,66944.70117,11208692.6,3238312.8,101.7424207,40.844457,-73.942518,12,10,255,14.31705343,12.5633624,8.049554763,3.794018727,0,0
9082,11358,2669071,100610,1929,1,100,86,3.4,0.8,7483489.8,79966.3,1170531.4,343063.1,101.7424207,40.622091,-73.955718,14,45,760,11.51900694,11.51890754,5.985194934,3.794018727,0,0
10986,13761,4408059,219845,1963,1,100,87.9,4.1,0.8,16244354.6,178682.1,3082833.2,903526.6,55.94,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,12.30067803,12.30067803,6.760182915,4.024279688,1,0
4363,4964,2680139,302049,1980,1,100,121.4,6.732861157,1,25866979.6,273154.3,8735102.6,1381668.643,70.18,40.773192,-73.95205,8,5,136,12.61834453,12.53876632,7.22540869,4.25106337,0,0
5082,5924,4938574,58230,1900,1,100,125.4,5.4,0,141822.8,1433.9,958871.3,276109.7,82.26,40.835061,-73.946086,12,7,241,10.97215596,10.84729617,6.008321664,4.409884963,0,0
11536,14612,4836168,180300,1962,1,100,69,2.8,0.6,11262899.7,118070.9,1801536.1,528000,101.7424207,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,12.10237741,12.15108834,6.393925146,3.794018727,1,0
8037,9932,2815583,235700,1925,1,100,109.7,6.732861157,0.478642298,16341998.8,66944.70117,9509379.1,1381668.643,0.74,40.736623,-73.949922,1,33,579,12.37031509,12.37031509,6.766191715,-0.301105093,0,0
6459,7785,4406119,63100,1931,1,100,130.8,15.4,0.8,4928925.3,52849.7,3323097.6,973944.1,101.7424207,40.875903,-73.901952,8,14,273,11.05247605,11.05247605,5.567580853,3.794018727,0,0
288,296,4954471,163156.8465,1960,2,95,98.4,5.5,0,1022440,10333.1,4924195,1385187.3,101.7424207,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.62058484,12.42761492,7.268780746,3.794018727,0,0
11507,14575,2735030,87926,1950,1,100,50,2.6,0.4,6021999.9,64040.7,1310010.1,383942,101.7424207,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.38425083,11.8955722,5.768008447,3.794018727,1,0
4816,5551,3987921,156986,1900,1,100,115.7,5.6,0.1,890395,9260.2,3017315.4,884324.5,101.7424207,40.80536,-73.951622,10,9,220,11.96391191,11.95623855,7.021976423,3.794018727,0,0
5104,5948,2660627,62736,1915,1,100,92.7,4.7,0.8,4754245.8,47542.5,1059616.5,294574.4,101.7424207,40.837481,-73.945238,12,7,247,11.04669072,11.04653131,5.531411249,3.794018727,0,0
10614,13301,4952684,117480,1950,1,100,58.5,2.4,0.5,6921770.9,69217.7,1101176,322736.2,101.7424207,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.67402339,11.82817407,5.90699539,3.794018727,1,0
1038,1261,2652076,132420,1940,1,100,95.6,6.732861157,0.478642298,202147.7,66944.70117,2312752.5,1381668.643,25.69,40.732893,-73.996323,2,3,63,11.79373397,11.79373397,6.651830238,3.246101811,0,0
6612,7949,4406118,68670,1925,1,100,97.6,4.2,0.9,5642352.5,60628.7,1060301.9,291546.2,101.7424207,40.870009,-73.8938,7,14,40303,11.1370677,11.1370677,5.702781974,3.794018727,0,0
6683,8028,5090180,75610,1927,1,100,124.5,3.9,0,277700,2820.6,1048309.7,293023,91.53,40.876045,-73.880596,7,11,419,11.23334383,11.23334383,6.435669484,4.516666787,0,0
6376,7682,2710938,58368,1920,1,100,73.2,0.6,0.478642298,6299575.527,66944.70117,114418,33534,146.82,40.861411,-73.912223,7,14,257,10.97452307,10.97452307,5.746203191,4.989207347,0,0
5332,6219,2738944,76500,1928,1,100,69.4,6.732861157,0.478642298,5277280.8,66944.70117,991346.9,1381668.643,37.29,40.851631,-73.936082,12,10,273,11.24504602,11.41083737,5.635860458,3.618725194,0,0
10208,12828,4931318,64200,1940,1,100,75.3,5.2,0.6,3702560.9,39818.2,1128735.5,330813.4,73.43,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.06975849,11.06975849,5.281679725,4.296332571,1,0
2550,2989,5791918,102800,1925,1,100,30.3,8.7,0.478642298,6299575.527,66944.70117,3117537.7,891280.6,4.66,40.765047,-73.998043,4,3,129,11.54054063,11.17605315,5.583766874,1.539015448,0,0
10233,12863,5964698,161130,1964,1,100,121.9,10.7,0.9,15146699.8,164234.4,7085185.1,2010578.2,45.87,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.98996677,12.14411745,6.751919847,3.825811309,1,0
4636,5345,2790753,158954,2007,1,100,41,4.4,0.3,3252078.8,34900.9,2007415.9,565892.7,13.86,40.803893,-73.955763,10,9,20102,11.97637013,11.63814743,5.151555985,2.629006994,0,0
9009,11275,2669074,81120,1931,1,100,97.4,4.3,0.9,6475429.1,69265.1,1220338.3,346832.8,101.7424207,40.610956,-73.976669,11,44,434,11.30368482,11.30356154,5.884157694,3.794018727,0,0
2941,3415,2815676,85942,1916,1,100,79.2,3.7,0,141200,1412,1113751.8,321070.2,23.21,40.785209,-73.980522,7,6,167,11.36142793,11.36142793,6.052559646,3.14458322,0,0
